id,run_id,user_id,recipe_id,rank_position,title,image,source_url,ready_in_minutes,calories,diets_json,ingredients_json,was_selected,selected_at,feedback_type,feedback_at
1,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,645245,1,"Graveyard Cupcakes",https://img.spoonacular.com/recipes/645245-556x370.jpg,https://www.foodista.com/recipe/4742WX2B/graveyard-cupcakes,45,621.58,"[""dairy free""]","[""chocolate cake mix"", ""chocolate sprinkles"", ""icing to write on the tombstones"", ""something similarly rounded to"", ""something similarly rounded to""]",0,,,
2,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,1499853,2,"Cake Mix Donuts",https://img.spoonacular.com/recipes/1499853-556x370.jpg,https://www.pinkwhen.com/cake-mix-donuts/,20,388.55,[],"[""vanilla"", ""strawberry cream cheese frosting"", ""sprinkles""]",0,,,
3,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,636874,3,"Candy Cane Chocolate Marshmallows",https://img.spoonacular.com/recipes/636874-556x370.jpg,https://www.foodista.com/recipe/SW55NN82/candy-cane-chocolate-marshmallows,75,48.37,"[""gluten free""]","[""candy canes"", ""chocolate"", ""marshmallows"", ""milk chocolate""]",0,,,
4,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,636107,4,Brigadeiros,https://img.spoonacular.com/recipes/636107-556x370.jpg,https://www.foodista.com/recipe/4KRDQGTK/brigadeiros,45,104.27,"[""gluten free""]","[""chocolate sprinkles"", ""condensed milk"", ""butter"", ""cocoa""]",0,,,
5,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,643829,5,"Fried Wonton",https://img.spoonacular.com/recipes/643829-556x370.jpg,https://www.foodista.com/recipe/TWWNSZRW/fried-wonton,45,2396.88,"[""dairy free""]","[""ground beef/pork"", ""cabbage"", ""water chestnuts"", ""salt"", ""vegetable oil enough"", ""wonton wrappers""]",0,,,
6,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,715514,6,"Rice Krispie Treats and Christmas",https://img.spoonacular.com/recipes/715514-556x370.jpg,http://www.pinkwhen.com/rice-krispie-treats/,45,600.96,[],"[""butter"", ""candy melts"", ""rice krispie cereal"", ""marshmallows"", ""sprinkles"", ""vegetable oil""]",0,,,
7,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,716380,7,"Watermelon Mocktail Drink",https://img.spoonacular.com/recipes/716380-556x370.jpg,http://www.afrolems.com/2014/05/14/watermelon-mocktail-drink-recipe/,45,8207.87,"[""gluten free"", ""dairy free""]","[""angostura bitters"", ""grenadine"", ""ice cubes"", ""lemon"", ""sprinkles"", ""sugar"", ""water"", ""chunks of watermelon""]",0,,,
8,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,1096278,8,"Nutella Fudge Candy",https://img.spoonacular.com/recipes/1096278-556x370.jpg,https://www.foodista.com/recipe/7SDQB4X7/nutella-fudge-candy,30,192.74,"[""gluten free""]","[""cocoa powder"", ""nutella"", ""butter"", ""condensed milk"", ""kosher salt"", ""bowl of chocolate sprinkles""]",0,,,
9,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,649845,9,"Lemon-Lime Sugar Cookie Truffles",https://img.spoonacular.com/recipes/649845-556x370.jpg,https://www.foodista.com/recipe/8T2PML5W/lemon-lime-sugar-cookie-truffles,45,234.52,[],"[""batch of sugar cookie dough"", ""juice of lemon"", ""blocks cream cheese"", ""chocolate candy coating"", ""coarse sugar""]",0,,,
10,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,715486,10,"Fall Inspired Ooey Gooey Cake Mix Cheesecake Bars",https://img.spoonacular.com/recipes/715486-556x370.jpg,http://www.pinkwhen.com/fall-inspired-ooey-gooey-cake-mix-cheesecake-bars/2,45,861.86,"[""gluten free""]","[""candy corn"", ""chocolate chunks"", ""cream cheese"", ""eggs"", ""powdered sugar"", ""sprinkles""]",0,,,
11,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,638693,11,"Chinese Potstickers",https://img.spoonacular.com/recipes/638693-556x370.jpg,https://www.foodista.com/recipe/GNBC6TDX/chinese-potstickers,45,135.09,"[""dairy free""]","[""ground pork"", ""water chestnuts"", ""sea salt"", ""sugar"", ""ground pepper"", ""soy sauce"", ""sesame oil"", ""shaoxing huatiao wine"", ""scallions"", ""dumpling wrappers"", ""flour to dust"", ""vegetable oil"", ""water""]",0,,,
12,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,646131,12,"Halloween Cereal Bars",https://img.spoonacular.com/recipes/646131-556x370.jpg,https://www.foodista.com/recipe/YGKWLRHG/halloween-cereal-bars,45,687.89,"[""gluten free""]","[""honey nut cheerios"", ""butter"", ""marshmallows"", ""full sized peanut butter cups"", ""halloween sprinkles"", ""semisweet chocolate chips""]",0,,,
13,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,636756,13,"Cake Batter Chocolates",https://img.spoonacular.com/recipes/636756-556x370.jpg,https://www.foodista.com/recipe/T287CBWD/cake-batter-chocolates,45,227.69,[],"[""condensed milk"", ""powdered sugar"", ""semi-sweet chocolate chips"", ""shortening"", ""sprinkles"", ""vanilla extract"", ""cake mix""]",0,,,
14,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,1095774,14,"Moist and Tender Lemon Cake",https://img.spoonacular.com/recipes/1095774-556x370.jpg,https://www.foodista.com/recipe/NX8V4YNX/moist-and-tender-lemon-cake,35,284.93,[],"[""butter"", ""sugar"", ""vanilla extract"", ""eggs"", ""lemons"", ""flour"", ""baking powder"", ""icing sugar"", ""sprinkles""]",0,,,
15,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,664994,15,"Water Chestnut Dessert",https://img.spoonacular.com/recipes/664994-556x370.jpg,https://www.foodista.com/recipe/62R7WWLB/water-chestnut-dessert,45,315.13,"[""gluten free"", ""dairy free"", ""fodmap friendly""]","[""sago"", ""water chestnuts"", ""water"", ""castor sugar"", ""pandan leaves"", ""coconut milk"", ""whipped cream"", ""salt"", ""egg white""]",0,,,
16,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,635001,16,"Birthday Pancakes",https://img.spoonacular.com/recipes/635001-556x370.jpg,https://www.foodista.com/recipe/SL3J2KBN/birthday-pancakes,45,53.41,[],"[""baking soda"", ""egg whites"", ""pillsbury funfetti cake mixx"", ""greek yogurt"", ""powdered sugar"", ""salt"", ""sprinkles"", ""sugar"", ""vanilla extract"", ""water"", ""pastry flour""]",0,,,
17,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,651925,17,"Mini Banana Splits",https://img.spoonacular.com/recipes/651925-556x370.png,https://www.foodista.com/recipe/FM7PL86Z/mini-banana-splits,45,649.95,"[""gluten free"", ""dairy free""]","[""bananas"", ""semi chocolate"", ""vanilla ice cream"", ""sprinkles"", ""nuts"", ""whipped cream"", ""maraschino cherries""]",0,,,
18,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,632821,18,"Asian Chicken Salad",https://img.spoonacular.com/recipes/632821-556x370.jpg,https://www.foodista.com/recipe/GTBZT3NS/asian-chicken-salad,45,182.82,"[""gluten free"", ""primal""]","[""chicken"", ""slivered almonds"", ""pineapple tidbits"", ""green onions"", ""water chestnuts"", ""cream"", ""ground ginger"", ""salt"", ""pepper""]",0,,,
19,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,647002,19,"Homemade Funfetti Cupcakes",https://img.spoonacular.com/recipes/647002-556x370.jpg,https://www.foodista.com/recipe/DXKHPGLH/homemade-funfetti-cupcakes,45,478.71,[],"[""baking powder"", ""butter"", ""butter"", ""colored sprinkles"", ""eggs"", ""flour"", ""heavy cream"", ""milk"", ""powdered sugar"", ""sugar"", ""vanilla extract"", ""clear vanilla extract""]",0,,,
20,77b00690-4060-4576-8330-09bd0911c03e,TEST-93,650463,20,"Lumpiang Shanghai",https://img.spoonacular.com/recipes/650463-556x370.jpg,https://www.foodista.com/recipe/GRFXFQWP/lumpiang-shanghai,45,228.5,"[""dairy free""]","[""carrots"", ""eggroll wrappers"", ""garlic"", ""green onion"", ""ground pepper"", ""ground pork"", ""salt"", ""shrimp"", ""vegetable oil"", ""water chestnuts""]",0,,,
21,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,645245,1,"Graveyard Cupcakes",https://img.spoonacular.com/recipes/645245-556x370.jpg,https://www.foodista.com/recipe/4742WX2B/graveyard-cupcakes,45,621.58,"[""dairy free""]","[""chocolate cake mix"", ""chocolate sprinkles"", ""icing to write on the tombstones"", ""something similarly rounded to"", ""something similarly rounded to""]",0,,,
22,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,636107,2,Brigadeiros,https://img.spoonacular.com/recipes/636107-556x370.jpg,https://www.foodista.com/recipe/4KRDQGTK/brigadeiros,45,104.27,"[""gluten free""]","[""chocolate sprinkles"", ""condensed milk"", ""butter"", ""cocoa""]",0,,,
23,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,643829,3,"Fried Wonton",https://img.spoonacular.com/recipes/643829-556x370.jpg,https://www.foodista.com/recipe/TWWNSZRW/fried-wonton,45,2396.88,"[""dairy free""]","[""ground beef/pork"", ""cabbage"", ""water chestnuts"", ""salt"", ""vegetable oil enough"", ""wonton wrappers""]",0,,,
24,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,715514,4,"Rice Krispie Treats and Christmas",https://img.spoonacular.com/recipes/715514-556x370.jpg,http://www.pinkwhen.com/rice-krispie-treats/,45,600.96,[],"[""butter"", ""candy melts"", ""rice krispie cereal"", ""marshmallows"", ""sprinkles"", ""vegetable oil""]",0,,,
25,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,716380,5,"Watermelon Mocktail Drink",https://img.spoonacular.com/recipes/716380-556x370.jpg,http://www.afrolems.com/2014/05/14/watermelon-mocktail-drink-recipe/,45,8207.87,"[""gluten free"", ""dairy free""]","[""angostura bitters"", ""grenadine"", ""ice cubes"", ""lemon"", ""sprinkles"", ""sugar"", ""water"", ""chunks of watermelon""]",0,,,
26,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,1096278,6,"Nutella Fudge Candy",https://img.spoonacular.com/recipes/1096278-556x370.jpg,https://www.foodista.com/recipe/7SDQB4X7/nutella-fudge-candy,30,192.74,"[""gluten free""]","[""cocoa powder"", ""nutella"", ""butter"", ""condensed milk"", ""kosher salt"", ""bowl of chocolate sprinkles""]",0,,,
27,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,649845,7,"Lemon-Lime Sugar Cookie Truffles",https://img.spoonacular.com/recipes/649845-556x370.jpg,https://www.foodista.com/recipe/8T2PML5W/lemon-lime-sugar-cookie-truffles,45,234.52,[],"[""batch of sugar cookie dough"", ""juice of lemon"", ""blocks cream cheese"", ""chocolate candy coating"", ""coarse sugar""]",0,,,
28,3547fee7-44a4-41e3-95f8-b855056e3156,TEST-93,715486,8,"Fall Inspired Ooey Gooey Cake Mix Cheesecake Bars",https://img.spoonacular.com/recipes/715486-556x370.jpg,http://www.pinkwhen.com/fall-inspired-ooey-gooey-cake-mix-cheesecake-bars/2,45,861.86,"[""gluten free""]","[""candy corn"", ""chocolate chunks"", ""cream cheese"", ""eggs"", ""powdered sugar"", ""sprinkles""]",0,,,
